"1.","Angļu v.","Jēkabpils 2. vidusskola","45.71"
"","Bio.","Jēkabpils 2. vidusskola","40.67"
"","Fiz.","Jēkabpils 2. vidusskola","42.67"
"","Latv. val.","Jēkabpils 2. vidusskola","40.44"
"","Vēsture","Jēkabpils 2. vidusskola","70.97"
"","Matem.","Jēkabpils 2. vidusskola","34.86"
"","Latv. val. 9.kl.","Jēkabpils 2. vidusskola","69.35"
"","Angļu v.","Jēkabpils 3. vidusskola","60.57"
"","Bio.","Jēkabpils 3. vidusskola","55.17"
"","Fiz.","Jēkabpils 3. vidusskola","36.67"
"","Krievu v.","Jēkabpils 3. vidusskola","61.36"
"","Ķīm.","Jēkabpils 3. vidusskola","48.67"
"","Latv. val.","Jēkabpils 3. vidusskola","57.17"
"","Vēsture","Jēkabpils 3. vidusskola","76.01"
"","Matem.","Jēkabpils 3. vidusskola","31.35"
"","Angļu v.","Jēkabpils vakara vidusskola","39.07"
"","Krievu v.","Jēkabpils vakara vidusskola","65.68"
"","Latv. val.","Jēkabpils vakara vidusskola","37.5"
"","Vēsture","Jēkabpils vakara vidusskola","27.02"
"","Matem.","Jēkabpils vakara vidusskola","14.85"
"","Angļu v.","Jēkabpils Valsts ģimnāzija","77.06"
"","Bio.","Jēkabpils Valsts ģimnāzija","68.97"
"","Fiz.","Jēkabpils Valsts ģimnāzija","51"
"","Krievu v.","Jēkabpils Valsts ģimnāzija","83.55"
"","Ķīm.","Jēkabpils Valsts ģimnāzija","68.29"
"","Latv. val.","Jēkabpils Valsts ģimnāzija","70.35"
"","Vēsture","Jēkabpils Valsts ģimnāzija","74.73"
"","Matem.","Jēkabpils Valsts ģimnāzija","48.46"
