1.,Angļu v.,Jūrmalas pilsētas Jaundubultu vidusskola,49.86
,Latv. val.,Jūrmalas pilsētas Jaundubultu vidusskola,32.24
,Matem.,Jūrmalas pilsētas Jaundubultu vidusskola,30.83
,Latv. val. 9.kl.,Jūrmalas pilsētas Jaundubultu vidusskola,63.17
,Angļu v.,Jūrmalas pilsētas Kauguru vidusskola,65.75
,Bio.,Jūrmalas pilsētas Kauguru vidusskola,52
,Fiz.,Jūrmalas pilsētas Kauguru vidusskola,82.67
,Ķīm.,Jūrmalas pilsētas Kauguru vidusskola,84
,Latv. val.,Jūrmalas pilsētas Kauguru vidusskola,43.09
,Vēsture,Jūrmalas pilsētas Kauguru vidusskola,45.16
,Matem.,Jūrmalas pilsētas Kauguru vidusskola,43.87
,Latv. val. 9.kl.,Jūrmalas pilsētas Kauguru vidusskola,67.29
,Angļu v.,Jūrmalas pilsētas Mežmalas vidusskola,42.17
,Ķīm.,Jūrmalas pilsētas Mežmalas vidusskola,22.67
,Latv. val.,Jūrmalas pilsētas Mežmalas vidusskola,29.9
,Matem.,Jūrmalas pilsētas Mežmalas vidusskola,27.4
,Latv. val. 9.kl.,Jūrmalas pilsētas Mežmalas vidusskola,42.51
,Angļu v.,Jūrmalas vakara vidusskola,46.68
,Krievu v.,Jūrmalas vakara vidusskola,68.16
,Latv. val.,Jūrmalas vakara vidusskola,36.43
,Vēsture,Jūrmalas vakara vidusskola,32.59
,Matem.,Jūrmalas vakara vidusskola,31.97
,Latv. val. 9.kl.,Jūrmalas vakara vidusskola,31.11
,Angļu v.,Jūrmalas Valsts ģimnāzija,76.56
,Bio.,Jūrmalas Valsts ģimnāzija,61
,Fiz.,Jūrmalas Valsts ģimnāzija,31.67
,Krievu v.,Jūrmalas Valsts ģimnāzija,80.59
,Ķīm.,Jūrmalas Valsts ģimnāzija,49.33
,Latv. val.,Jūrmalas Valsts ģimnāzija,68.97
,Vēsture,Jūrmalas Valsts ģimnāzija,85
,Matem.,Jūrmalas Valsts ģimnāzija,39.47
