"1.","Angļu v.","Austrumlatvijas Tehnoloģiju vidusskola","73.01"
"","Bio.","Austrumlatvijas Tehnoloģiju vidusskola","70.33"
"","Fiz.","Austrumlatvijas Tehnoloģiju vidusskola","33.75"
"","Krievu v.","Austrumlatvijas Tehnoloģiju vidusskola","85.65"
"","Ķīm.","Austrumlatvijas Tehnoloģiju vidusskola","35.33"
"","Latv. val.","Austrumlatvijas Tehnoloģiju vidusskola","65.26"
"","Matem.","Austrumlatvijas Tehnoloģiju vidusskola","75.34"
"","Angļu v.","Rēzeknes 2. vidusskola","56.21"
"","Bio.","Rēzeknes 2. vidusskola","76.67"
"","Fiz.","Rēzeknes 2. vidusskola","26.67"
"","Ķīm.","Rēzeknes 2. vidusskola","61"
"","Latv. val.","Rēzeknes 2. vidusskola","47.64"
"","Matem.","Rēzeknes 2. vidusskola","33.45"
"","Latv. val. 9.kl.","Rēzeknes 2. vidusskola","61.72"
"","Angļu v.","Rēzeknes 3. vidusskola","43.44"
"","Fiz.","Rēzeknes 3. vidusskola","78"
"","Ķīm.","Rēzeknes 3. vidusskola","71.33"
"","Latv. val.","Rēzeknes 3. vidusskola","41.93"
"","Matem.","Rēzeknes 3. vidusskola","42.08"
"","Latv. val. 9.kl.","Rēzeknes 3. vidusskola","59.59"
"","Angļu v.","Rēzeknes 4. vidusskola","35.36"
"","Krievu v.","Rēzeknes 4. vidusskola","68.51"
"","Latv. val.","Rēzeknes 4. vidusskola","32.55"
"","Matem.","Rēzeknes 4. vidusskola","28.09"
"","Latv. val. 9.kl.","Rēzeknes 4. vidusskola","54.04"
"","Angļu v.","Rēzeknes 5. vidusskola","75.41"
"","Bio.","Rēzeknes 5. vidusskola","80"
"","Fiz.","Rēzeknes 5. vidusskola","62.83"
"","Krievu v.","Rēzeknes 5. vidusskola","77.84"
"","Ķīm.","Rēzeknes 5. vidusskola","98.67"
"","Latv. val.","Rēzeknes 5. vidusskola","74.51"
"","Matem.","Rēzeknes 5. vidusskola","49.74"
"","Angļu v.","Rēzeknes 6. vidusskola","60.2"
"","Bio.","Rēzeknes 6. vidusskola","32.33"
"","Ķīm.","Rēzeknes 6. vidusskola","59.67"
"","Latv. val.","Rēzeknes 6. vidusskola","48.12"
"","Vēsture","Rēzeknes 6. vidusskola","48.79"
"","Matem.","Rēzeknes 6. vidusskola","63.77"
"","Latv. val. 9.kl.","Rēzeknes 6. vidusskola","71.6"
"","Angļu v.","Rēzeknes Katoļu vidusskola","61.57"
"","Latv. val.","Rēzeknes Katoļu vidusskola","63.89"
"","Vēsture","Rēzeknes Katoļu vidusskola","83.47"
"","Matem.","Rēzeknes Katoļu vidusskola","33.4"
"","Angļu v.","Rēzeknes Valsts 1. ģimnāzija","69.66"
"","Bio.","Rēzeknes Valsts 1. ģimnāzija","69.33"
"","Fiz.","Rēzeknes Valsts 1. ģimnāzija","49.73"
"","Krievu v.","Rēzeknes Valsts 1. ģimnāzija","80"
"","Ķīm.","Rēzeknes Valsts 1. ģimnāzija","89.33"
"","Latv. val.","Rēzeknes Valsts 1. ģimnāzija","69.56"
"","Vēsture","Rēzeknes Valsts 1. ģimnāzija","78.63"
"","Matem.","Rēzeknes Valsts 1. ģimnāzija","53.01"
"","Angļu v.","Rēzeknes valsts poļu ģimnāzija","67.35"
"","Bio.","Rēzeknes valsts poļu ģimnāzija","62.83"
"","Krievu v.","Rēzeknes valsts poļu ģimnāzija","83.84"
"","Ķīm.","Rēzeknes valsts poļu ģimnāzija","72.67"
"","Latv. val.","Rēzeknes valsts poļu ģimnāzija","69.55"
"","Vēsture","Rēzeknes valsts poļu ģimnāzija","80.11"
"","Matem.","Rēzeknes valsts poļu ģimnāzija","64.32"
