"1.","Angļu v.","J.G.Herdera Rīgas Grīziņkalna vidusskola","54.9"
"","Bio.","J.G.Herdera Rīgas Grīziņkalna vidusskola","60.33"
"","Fiz.","J.G.Herdera Rīgas Grīziņkalna vidusskola","32.67"
"","Latv. val.","J.G.Herdera Rīgas Grīziņkalna vidusskola","38.07"
"","Vēsture","J.G.Herdera Rīgas Grīziņkalna vidusskola","41.53"
"","Matem.","J.G.Herdera Rīgas Grīziņkalna vidusskola","30.04"
"","Vācu val.","J.G.Herdera Rīgas Grīziņkalna vidusskola","76.04"
"","Latv. val. 9.kl.","J.G.Herdera Rīgas Grīziņkalna vidusskola","69.36"
"","Latv. val. 9.kl.","Jankas Kupalas Rīgas Baltkrievu pamatskola","54.69"
"","Angļu v.","Privātā Rīgas Tehnolingvistiskā ģimnāzija","66.28"
"","Bio.","Privātā Rīgas Tehnolingvistiskā ģimnāzija","60"
"","Latv. val.","Privātā Rīgas Tehnolingvistiskā ģimnāzija","36.84"
"","Matem.","Privātā Rīgas Tehnolingvistiskā ģimnāzija","29.22"
"","Latv. val. 9.kl.","Privātā Rīgas Tehnolingvistiskā ģimnāzija","72.5"
"","Angļu v.","Rīgas 1. Privātā tālmācības vidusskola","50.45"
"","Bio.","Rīgas 1. Privātā tālmācības vidusskola","20"
"","Krievu v.","Rīgas 1. Privātā tālmācības vidusskola","56.77"
"","Latv. val.","Rīgas 1. Privātā tālmācības vidusskola","38.37"
"","Vēsture","Rīgas 1. Privātā tālmācības vidusskola","35.08"
"","Matem.","Rīgas 1. Privātā tālmācības vidusskola","12.28"
"","Vācu val.","Rīgas 1. Privātā tālmācības vidusskola","52"
"","Angļu v.","Rīgas 1. Tālmācības vidusskola","60.52"
"","Bio.","Rīgas 1. Tālmācības vidusskola","33.13"
"","Fiz.","Rīgas 1. Tālmācības vidusskola","24.44"
"","Krievu v.","Rīgas 1. Tālmācības vidusskola","67.09"
"","Latv. val.","Rīgas 1. Tālmācības vidusskola","46.74"
"","Vēsture","Rīgas 1. Tālmācības vidusskola","43.7"
"","Matem.","Rīgas 1. Tālmācības vidusskola","16.01"
"","Vācu val.","Rīgas 1. Tālmācības vidusskola","82.7"
"","Angļu v.","Rīgas 1. vidusskola","52.23"
"","Bio.","Rīgas 1. vidusskola","56"
"","Fiz.","Rīgas 1. vidusskola","42.33"
"","Krievu v.","Rīgas 1. vidusskola","75.3"
"","Latv. val.","Rīgas 1. vidusskola","37.48"
"","Vēsture","Rīgas 1. vidusskola","43.09"
"","Matem.","Rīgas 1. vidusskola","17.77"
"","Vācu val.","Rīgas 1. vidusskola","55.37"
"","Latv. val. 9.kl.","Rīgas 1. vidusskola","61.53"
"","Angļu v.","Rīgas 10. vidusskola","73.34"
"","Bio.","Rīgas 10. vidusskola","65.08"
"","Fiz.","Rīgas 10. vidusskola","47.07"
"","Ķīm.","Rīgas 10. vidusskola","67.5"
