"1.","Angļu v.","Ventspils 2. vidusskola","62.76"
"","Bio.","Ventspils 2. vidusskola","49.67"
"","Fiz.","Ventspils 2. vidusskola","70.33"
"","Latv. val.","Ventspils 2. vidusskola","48.02"
"","Matem.","Ventspils 2. vidusskola","53.92"
"","Latv. val. 9.kl.","Ventspils 2. vidusskola","69.74"
"","Angļu v.","Ventspils 3. vidusskola","60.13"
"","Bio.","Ventspils 3. vidusskola","43.33"
"","Latv. val.","Ventspils 3. vidusskola","38.31"
"","Matem.","Ventspils 3. vidusskola","38.99"
"","Latv. val. 9.kl.","Ventspils 3. vidusskola","55.43"
"","Angļu v.","Ventspils 4. vidusskola","72.22"
"","Bio.","Ventspils 4. vidusskola","52.67"
"","Fiz.","Ventspils 4. vidusskola","79.33"
"","Krievu v.","Ventspils 4. vidusskola","79.97"
"","Ķīm.","Ventspils 4. vidusskola","76"
"","Latv. val.","Ventspils 4. vidusskola","64.81"
"","Vēsture","Ventspils 4. vidusskola","77.82"
"","Matem.","Ventspils 4. vidusskola","37"
"","Angļu v.","Ventspils 6. vidusskola","61.41"
"","Bio.","Ventspils 6. vidusskola","49"
"","Fiz.","Ventspils 6. vidusskola","42.67"
"","Krievu v.","Ventspils 6. vidusskola","75.58"
"","Latv. val.","Ventspils 6. vidusskola","51.2"
"","Vēsture","Ventspils 6. vidusskola","45.56"
"","Matem.","Ventspils 6. vidusskola","30"
"","Latv. val. 9.kl.","Ventspils 6. vidusskola","66.25"
"","Angļu v.","Ventspils Valsts 1. ģimnāzija","77.28"
"","Bio.","Ventspils Valsts 1. ģimnāzija","74.67"
"","Fiz.","Ventspils Valsts 1. ģimnāzija","37.83"
"","Krievu v.","Ventspils Valsts 1. ģimnāzija","87.71"
"","Ķīm.","Ventspils Valsts 1. ģimnāzija","68"
"","Latv. val.","Ventspils Valsts 1. ģimnāzija","68.95"
"","Vēsture","Ventspils Valsts 1. ģimnāzija","87.5"
"","Matem.","Ventspils Valsts 1. ģimnāzija","50.7"
