"","Angļu v.","Aglonas internātvidusskola","58.82"
"","Krievu v.","Aglonas internātvidusskola","59.67"
"","Latv. val.","Aglonas internātvidusskola","50.91"
"","Vēsture","Aglonas internātvidusskola","31.85"
"","Matem.","Aglonas internātvidusskola","44.5"
"","Angļu v.","Aglonas vidusskola","71.92"
"","Bio.","Aglonas vidusskola","53.5"
"","Fiz.","Aglonas vidusskola","44.33"
"","Krievu v.","Aglonas vidusskola","80.2"
"","Ķīm.","Aglonas vidusskola","33.33"
"","Latv. val.","Aglonas vidusskola","64.68"
"","Vēsture","Aglonas vidusskola","54.44"
"","Matem.","Aglonas vidusskola","59.21"
"","Angļu v.","Aizkraukles novada vidusskola","74.32"
"","Bio.","Aizkraukles novada vidusskola","56.67"
"","Fiz.","Aizkraukles novada vidusskola","59.33"
"","Krievu v.","Aizkraukles novada vidusskola","78.81"
"","Ķīm.","Aizkraukles novada vidusskola","76.67"
"","Latv. val.","Aizkraukles novada vidusskola","58.84"
"","Vēsture","Aizkraukles novada vidusskola","86.29"
"","Matem.","Aizkraukles novada vidusskola","36.78"
"","Latv. v. 9.kl.","Aizkraukles novada vidusskola","83.85"
"","Angļu v.","Aizkraukles Vakara (maiņu) vidusskola","53.4"
"","Krievu v.","Aizkraukles Vakara (maiņu) vidusskola","48.53"
"","Latv. val.","Aizkraukles Vakara (maiņu) vidusskola","45.82"
"","Vēsture","Aizkraukles Vakara (maiņu) vidusskola","44.35"
"","Matem.","Aizkraukles Vakara (maiņu) vidusskola","20.66"
"","Angļu v.","Aizputes novada Neklātienes vidusskola","39.45"
"","Krievu v.","Aizputes novada Neklātienes vidusskola","57.43"
"","Latv. val.","Aizputes novada Neklātienes vidusskola","41.99"
"","Vēsture","Aizputes novada Neklātienes vidusskola","35.87"
"","Matem.","Aizputes novada Neklātienes vidusskola","19.08"
"","Angļu v.","Aizputes vidusskola","66.72"
"","Bio.","Aizputes vidusskola","62.67"
"","Fiz.","Aizputes vidusskola","25.17"
"","Krievu v.","Aizputes vidusskola","59.53"
"","Ķīm.","Aizputes vidusskola","54.89"
"","Latv. val.","Aizputes vidusskola","59.7"
"","Vēsture","Aizputes vidusskola","55.65"
"","Matem.","Aizputes vidusskola","40.92"
"","Angļu v.","Aknīstes vidusskola","66.45"
"","Bio.","Aknīstes vidusskola","64"
